date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:21:22	181/181	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2025%20Sep%202019%2023:21:23%20GMT	http://html.codedthemes.com/robots.txt		(from )
20:21:22	45683/45683	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2015:32:46%20GMT	http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html	(from )
20:21:23	41065/41065	---MCZ	200	added ('OK')	text/css	etag:W/%22a069-57bbba6f92580%22	http://html.codedthemes.com/datta-able/bootstrap/assets/fonts/fontawesome/css/fontawesome-all.min.css	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/fonts/fontawesome/css/fontawesome-all.min.css	(from http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html)
20:21:23	57902/57902	---MCZ	200	added ('OK')	text/css	etag:W/%22e22e-57bbba754b300%22	http://html.codedthemes.com/datta-able/bootstrap/assets/plugins/animation/css/animate.min.css	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/plugins/animation/css/animate.min.css	(from http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html)
20:21:24	272896/272896	---MCZ	200	added ('OK')	text/css	etag:W/%225326b-57e0219d55900%22	http://html.codedthemes.com/datta-able/bootstrap/assets/css/style.css	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/assets/css/style.css	(from http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html)
20:21:25	52953/52953	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2015:30:30%20GMT	http://html.codedthemes.com/datta-able/bootstrap/default/index.html	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/default/index.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html)
20:21:25	51235/51235	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2015:32:46%20GMT	http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-ecommerce.html	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/default/dashboard-ecommerce.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html)
20:21:26	62659/62659	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2015:32:46%20GMT	http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crm.html	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/default/dashboard-crm.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html)
20:21:26	48364/48364	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2015:32:46%20GMT	http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-analytics.html	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/default/dashboard-analytics.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html)
20:21:27	56688/56688	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2015:32:46%20GMT	http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-project.html	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/default/dashboard-project.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html)
20:21:28	104586/104586	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2015:32:28%20GMT	http://html.codedthemes.com/datta-able/bootstrap/default/layout-static.html	C:/Users/Cleitom/Desktop/site/.systemplate/html.codedthemes.com/datta-able/bootstrap/default/layout-static.html	(from http://html.codedthemes.com/datta-able/bootstrap/default/dashboard-crypto.html)
